weeks_on_chart,is_viral
44,Non Viral
25,Non Viral
27,Non Viral
18,Non Viral
27,TikTok Viral
28,Non Viral
34,TikTok Viral
52,TikTok Viral
13,Non Viral
15,Non Viral
9,Non Viral
47,Non Viral
28,Non Viral
17,Non Viral
21,Non Viral
2,Non Viral
9,Non Viral
7,TikTok Viral
5,Non Viral
11,Non Viral
8,Non Viral
32,Non Viral
7,Non Viral
3,Non Viral
2,Non Viral
5,Non Viral
1,Non Viral
3,Non Viral
3,Non Viral
2,Non Viral
2,Non Viral
5,TikTok Viral
3,Non Viral
5,Non Viral
32,Non Viral
1,Non Viral
3,Non Viral
1,Non Viral
12,TikTok Viral
7,Non Viral
1,Non Viral
20,TikTok Viral
4,Non Viral
3,Non Viral
8,Non Viral
8,Non Viral
6,Non Viral
13,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
4,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
2,Non Viral
24,TikTok Viral
4,Non Viral
6,Non Viral
14,Non Viral
40,Non Viral
1,Non Viral
1,Non Viral
22,TikTok Viral
2,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
4,Non Viral
2,Non Viral
7,Non Viral
2,Non Viral
26,TikTok Viral
4,Non Viral
1,Non Viral
20,Non Viral
32,TikTok Viral
6,Non Viral
6,Non Viral
3,Non Viral
3,Non Viral
1,Non Viral
13,Non Viral
9,Non Viral
15,Non Viral
1,Non Viral
2,Non Viral
2,Non Viral
1,Non Viral
1,Non Viral
19,Non Viral
1,TikTok Viral
13,TikTok Viral
1,Non Viral
1,Non Viral
1,TikTok Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
22,TikTok Viral
3,Non Viral
1,Non Viral
5,TikTok Viral
9,TikTok Viral
13,TikTok Viral
19,TikTok Viral
1,Non Viral
1,Non Viral
2,TikTok Viral
4,TikTok Viral
33,TikTok Viral
1,Non Viral
1,Non Viral
19,Non Viral
1,Non Viral
11,TikTok Viral
5,Non Viral
4,Non Viral
9,Non Viral
1,Non Viral
10,Non Viral
5,TikTok Viral
1,Non Viral
13,TikTok Viral
9,TikTok Viral
8,Non Viral
12,TikTok Viral
18,TikTok Viral
23,Non Viral
3,TikTok Viral
8,TikTok Viral
1,Non Viral
5,Non Viral
12,Non Viral
1,Non Viral
21,TikTok Viral
15,TikTok Viral
12,Non Viral
8,Non Viral
13,Non Viral
7,Non Viral
19,TikTok Viral
12,Non Viral
13,Non Viral
11,TikTok Viral
2,Non Viral
2,Non Viral
2,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
11,TikTok Viral
3,Non Viral
10,Non Viral
9,Non Viral
17,TikTok Viral
3,Non Viral
3,Non Viral
2,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
17,TikTok Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
2,Non Viral
19,TikTok Viral
1,Non Viral
19,TikTok Viral
5,Non Viral
10,TikTok Viral
3,Non Viral
14,TikTok Viral
9,TikTok Viral
10,TikTok Viral
19,TikTok Viral
19,TikTok Viral
18,TikTok Viral
14,TikTok Viral
9,TikTok Viral
1,Non Viral
17,TikTok Viral
15,TikTok Viral
11,TikTok Viral
10,Non Viral
1,TikTok Viral
11,TikTok Viral
1,Non Viral
1,Non Viral
13,TikTok Viral
9,TikTok Viral
7,TikTok Viral
4,Non Viral
1,Non Viral
8,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
3,Non Viral
6,TikTok Viral
7,TikTok Viral
1,TikTok Viral
9,TikTok Viral
3,Non Viral
9,TikTok Viral
1,Non Viral
8,TikTok Viral
1,TikTok Viral
1,Non Viral
3,TikTok Viral
1,Non Viral
1,Non Viral
4,Non Viral
1,Non Viral
3,Non Viral
5,TikTok Viral
2,Non Viral
1,TikTok Viral
6,TikTok Viral
6,TikTok Viral
1,Non Viral
3,TikTok Viral
5,Non Viral
4,Non Viral
1,Non Viral
1,Non Viral
5,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
5,Non Viral
4,Non Viral
2,Non Viral
4,Non Viral
1,Non Viral
4,Non Viral
1,Non Viral
4,Non Viral
4,Non Viral
1,Non Viral
4,Non Viral
1,Non Viral
4,TikTok Viral
4,TikTok Viral
3,Non Viral
3,Non Viral
2,Non Viral
2,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
2,TikTok Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
1,Non Viral
